Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2017-2018/q1,2017-2018/Q1,2017-2018/q1,,0,,http://reference.data.gov.uk/id/government-quarter/2017-2018/Q1
2017-2018/q2,2017-2018/Q2,2017-2018/q2,,1,,http://reference.data.gov.uk/id/government-quarter/2017-2018/Q2
2017-2018/q3,2017-2018/Q3,2017-2018/q3,,2,,http://reference.data.gov.uk/id/government-quarter/2017-2018/Q3
2018-2019/q1,2018-2019/Q1,2018-2019/q1,,3,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q1
2018-2019/q2,2018-2019/Q2,2018-2019/q2,,4,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q2
2018-2019/q3,2018-2019/Q3,2018-2019/q3,,5,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q3
2018-2019/q4,2018-2019/Q4,2018-2019/q4,,6,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q4
2019-2020/q1,2019-2020/Q1,2019-2020/q1,,7,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q1
2019-2020/q2,2019-2020/Q2,2019-2020/q2,,8,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q2
2019-2020/q3,2019-2020/Q3,2019-2020/q3,,9,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q3
2019-2020/q4,2019-2020/Q4,2019-2020/q4,,10,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q4
2020-2021/q1,2020-2021/Q1,2020-2021/q1,,11,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q1
2020-2021/q2,2020-2021/Q2,2020-2021/q2,,12,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q2
2020-2021/q3,2020-2021/Q3,2020-2021/q3,,13,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q3
2020-2021/q4,2020-2021/Q4,2020-2021/q4,,14,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q4
2021-2022/q1,2021-2022/Q1,2021-2022/q1,,15,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q1
2021-2022/q2,2021-2022/Q2,2021-2022/q2,,16,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q2
2021-2022/q3,2021-2022/Q3,2021-2022/q3,,17,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q3
2021-2022/q4,2021-2022/Q4,2021-2022/q4,,18,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q4
2022-2023/q4,2022-2023/Q4,2022-2023/q4,,19,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q4
