Year,Quarter,Period,Tasking Location Type,Caernarfon,Humberside,Inverness,Lee On Solent,Lydd,Newquay,Portland,Portland-obsStatus,Prestwick,St Athan,Stornoway,Sumburgh,Total,Revisions
2017,Apr to Jun,2017-2018/q1,beach/cliff,9,9,7,9,24,21,12,,12,30,7,0,140,
2017,Apr to Jun,2017-2018/q1,mountain,38,3,25,0,1,0,1,,19,7,19,0,113,
2017,Apr to Jun,2017-2018/q1,other,32,31,21,24,12,58,12,,36,29,13,18,286,
2017,Apr to Jun,2017-2018/q1,vessel,7,15,7,18,13,13,5,,13,10,8,12,121,
2017,Apr to Jun,2017-2018/q1,total,86,58,60,51,50,92,30,,80,76,47,30,660,
2017,Jul to Sep,2017-2018/q2,beach/cliff,25,16,9,26,21,46,,x,15,58,11,1,228,
2017,Jul to Sep,2017-2018/q2,mountain,45,3,37,0,0,0,,x,38,9,12,0,144,
2017,Jul to Sep,2017-2018/q2,other,20,41,28,52,24,72,,x,58,38,15,18,366,
2017,Jul to Sep,2017-2018/q2,vessel,1,10,2,26,14,17,,x,12,12,13,5,112,
2017,Jul to Sep,2017-2018/q2,total,91,70,76,104,59,135,,x,123,117,51,24,850,
2017,Oct to Dec,2017-2018/q3,beach/cliff,7,9,4,16,24,15,,x,7,16,3,0,101,
2017,Oct to Dec,2017-2018/q3,mountain,28,2,17,0,0,0,,x,20,9,5,0,81,
2017,Oct to Dec,2017-2018/q3,other,17,30,22,41,13,34,,x,46,36,10,21,270,
2017,Oct to Dec,2017-2018/q3,vessel,3,13,2,9,7,11,,x,2,3,4,11,65,
2017,Oct to Dec,2017-2018/q3,total,55,54,45,66,44,60,,x,75,64,22,32,517,
2018,Jan to Mar,2018-2019/q4,beach/cliff,12,11,6,11,12,13,,x,6,19,0,0,90,
2018,Jan to Mar,2018-2019/q4,mountain,34,6,61,0,0,0,,x,36,9,7,0,153,
2018,Jan to Mar,2018-2019/q4,other,20,28,22,47,17,48,,x,37,24,13,38,294,
2018,Jan to Mar,2018-2019/q4,vessel,3,19,1,5,6,11,,x,3,1,5,10,64,
2018,Jan to Mar,2018-2019/q4,total,69,64,90,63,35,72,,x,82,53,25,48,601,
2018,Apr to Jun,2018-2019/q1,beach/cliff,13,14,7,13,25,25,,x,15,31,10,1,154,
2018,Apr to Jun,2018-2019/q1,mountain,40,3,39,0,0,2,,x,29,9,12,0,134,
2018,Apr to Jun,2018-2019/q1,other,23,26,30,40,15,61,,x,31,19,16,31,292,
2018,Apr to Jun,2018-2019/q1,vessel,4,18,8,21,7,16,,x,6,6,8,9,103,
2018,Apr to Jun,2018-2019/q1,total,80,61,84,74,47,104,,x,81,65,46,41,683,
2018,Jul to Sep,2018-2019/q2,beach/cliff,21,24,9,26,38,20,,x,13,25,3,1,180,
2018,Jul to Sep,2018-2019/q2,mountain,50,2,35,0,0,0,,x,36,9,10,0,142,
2018,Jul to Sep,2018-2019/q2,other,30,33,33,44,27,77,,x,49,32,19,29,373,
2018,Jul to Sep,2018-2019/q2,vessel,9,10,6,19,13,14,,x,10,6,9,7,103,
2018,Jul to Sep,2018-2019/q2,total,110,69,83,89,78,111,,x,108,72,41,37,798,
2018,Oct to Dec,2018-2019/q3,beach/cliff,4,8,4,16,26,11,,x,5,20,1,0,95,
2018,Oct to Dec,2018-2019/q3,mountain,31,4,12,0,0,0,,x,9,5,7,0,68,
2018,Oct to Dec,2018-2019/q3,other,15,34,23,52,18,42,,x,47,25,9,21,286,
2018,Oct to Dec,2018-2019/q3,vessel,1,13,2,7,13,9,,x,4,4,2,11,66,
2018,Oct to Dec,2018-2019/q3,total,51,59,41,75,57,62,,x,65,54,19,32,515,
2019,Jan to Mar,2019-2020/q4,beach/cliff,10,8,3,11,17,14,,x,6,12,1,1,83,
2019,Jan to Mar,2019-2020/q4,mountain,16,1,17,0,0,0,,x,15,2,6,0,57,
2019,Jan to Mar,2019-2020/q4,other,19,16,25,41,11,42,,x,39,18,15,28,254,
2019,Jan to Mar,2019-2020/q4,vessel,5,8,1,6,4,8,,x,4,5,3,4,48,
2019,Jan to Mar,2019-2020/q4,total,50,33,46,58,32,64,,x,64,37,25,33,442,
2019,Apr to Jun,2019-2020/q1,beach/cliff,13,12,4,14,23,30,,x,12,38,6,1,153,
2019,Apr to Jun,2019-2020/q1,mountain,36,4,40,0,1,0,,x,14,9,15,0,119,
2019,Apr to Jun,2019-2020/q1,other,19,28,28,33,12,49,,x,45,18,16,30,278,
2019,Apr to Jun,2019-2020/q1,vessel,4,13,5,10,10,20,,x,12,5,8,15,102,
2019,Apr to Jun,2019-2020/q1,total,72,57,77,57,46,99,,x,83,70,45,46,652,
2019,Jul to Sep,2019-2020/q2,beach/cliff,15,19,14,17,32,27,,x,22,42,9,2,199,
2019,Jul to Sep,2019-2020/q2,mountain,62,3,33,0,0,0,,x,29,7,12,0,146,
2019,Jul to Sep,2019-2020/q2,other,18,23,30,30,16,54,,x,46,29,22,33,301,
2019,Jul to Sep,2019-2020/q2,vessel,5,16,6,19,22,17,,x,12,5,6,10,118,
2019,Jul to Sep,2019-2020/q2,total,100,61,83,66,70,98,,x,109,83,49,45,764,
2019,Oct to Dec,2019-2020/q3,beach/cliff,8,9,3,3,15,12,,x,5,16,3,3,77,
2019,Oct to Dec,2019-2020/q3,mountain,15,1,20,0,0,0,,x,17,5,8,0,66,
